ID,Name,Day,X,Y
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,78,0.7515349892936778,0.9919921535134035
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,79,0.7437023197932711,0.9839843070268071
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,80,0.7358696502928643,0.9759764605402106
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,81,0.7280369807924576,0.9679686140536141
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,82,0.7202043112920509,0.9599607675670176
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,83,0.7123716417916441,0.9519529210804212
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,84,0.7045389722912374,0.9439450745938247
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,85,0.6967063027908307,0.9359372281072282
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,86,0.688873633290424,0.9279293816206318
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,87,0.6810409637900172,0.9199215351340353
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,88,0.6732082942896105,0.9119136886474388
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,89,0.6653756247892038,0.9039058421608424
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,90,0.657542955288797,0.8958979956742459
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,91,0.6497102857883903,0.8878901491876494
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,92,0.6418776162879836,0.8798823027010529
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,93,0.6340449467875768,0.8718744562144565
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,94,0.6262122772871701,0.86386660972786
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,95,0.6183796077867634,0.8558587632412635
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,96,0.6105469382863566,0.8478509167546671
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,97,0.6032794133384034,0.8403939316615556
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,98,0.5970466083241199,0.8339455984917582
b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,99,0.5970466083241199,0.8339455984917582
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,73,0.9392333456924482,0.9093155460388287
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,74,0.8526738468013295,0.9630927212890966
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,75,0.7622347615608004,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,76,0.7547504681805577,0.9923503594739713
